total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
0.0,23.0,1.0,0.0,0.0,0.0
0.0,92.0,1.0,0.0,0.0,0.0
11.0,67.0,1.0,11.0,7.0,1.0
17.0,68.0,1.0,17.0,3.0,1.0
0.0,122.0,1.0,0.0,0.0,0.0
53.0,166.0,1.0,53.0,0.0,0.0
0.0,127.0,1.0,0.0,0.0,0.0
1.0,41.0,1.0,1.0,1.0,0.0
4.0,73.0,1.0,4.0,0.0,1.0
0.0,243.0,1.0,0.0,0.0,0.0
28.0,395.0,1.0,28.0,4.0,6.0
0.0,97.0,1.0,0.0,0.0,0.0
8.0,160.0,1.0,8.0,0.0,2.0
0.0,41.0,1.0,0.0,0.0,0.0
0.0,69.0,1.0,0.0,0.0,0.0
0.0,59.0,1.0,0.0,0.0,0.0
0.0,143.0,1.0,0.0,0.0,0.0
8.0,226.0,1.0,8.0,4.0,1.0
20.0,185.0,1.0,20.0,0.0,5.0
25.0,311.0,1.0,25.0,1.0,6.0
0.0,42.0,1.0,0.0,0.0,0.0
0.0,76.0,1.0,0.0,0.0,0.0
3.0,60.0,1.0,3.0,3.0,0.0
0.0,371.0,1.0,53.0,0.0,0.0
0.0,239.0,1.0,0.0,0.0,0.0
5.0,164.0,1.0,5.0,5.0,0.0
0.0,138.0,1.0,0.0,0.0,0.0
7.0,50.0,1.0,7.0,7.0,0.0
4.0,214.0,1.0,4.0,0.0,1.0
0.0,75.0,1.0,0.0,0.0,0.0
0.0,28.0,1.0,0.0,0.0,0.0
0.0,224.0,1.0,0.0,0.0,0.0
0.0,415.0,1.0,0.0,0.0,0.0
0.0,23.0,1.0,0.0,0.0,0.0
0.0,86.0,1.0,0.0,0.0,0.0
0.0,122.0,1.0,0.0,0.0,0.0
0.0,46.0,1.0,0.0,0.0,0.0
0.0,380.0,1.0,0.0,0.0,0.0
0.0,111.0,1.0,7.0,7.0,0.0
0.0,30.0,1.0,0.0,0.0,0.0
0.0,40.0,1.0,0.0,0.0,0.0
0.0,164.0,1.0,0.0,0.0,0.0
0.0,88.0,1.0,0.0,0.0,0.0
2.0,50.0,1.0,2.0,2.0,0.0
13.0,61.0,1.0,13.0,0.0,0.0
17.0,70.0,1.0,17.0,0.0,1.0
0.0,529.0,1.0,0.0,0.0,0.0
7.0,79.0,1.0,7.0,7.0,0.0
0.0,502.0,1.0,0.0,0.0,0.0
4.0,175.0,1.0,4.0,4.0,0.0
24.0,293.0,1.0,31.0,7.0,6.0
0.0,443.0,1.0,0.0,0.0,0.0
4.0,88.0,1.0,4.0,0.0,1.0
4.0,371.0,1.0,4.0,4.0,0.0
3.0,161.0,1.0,3.0,3.0,0.0
0.0,44.0,1.0,2.0,2.0,0.0
3.0,93.0,1.0,3.0,3.0,0.0
1.0,188.0,1.0,3.0,3.0,0.0
2.0,29.0,1.0,2.0,2.0,0.0
12.0,707.0,1.0,12.0,0.0,3.0
4.0,492.0,1.0,4.0,0.0,1.0
0.0,113.0,1.0,0.0,0.0,0.0
0.0,119.0,1.0,0.0,0.0,0.0
0.0,15.0,1.0,0.0,0.0,0.0
