index,total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
14-54-07,3.0,1854.0,1.0,3.0,3.0,0.0
14-54-19,2.0,3007.0,1.0,2.0,2.0,0.0
14-54-52,0.0,1123.0,1.0,0.0,0.0,0.0
14-55-07,1.0,643.0,1.0,1.0,1.0,0.0
14-55-16,0.0,544.0,1.0,0.0,0.0,0.0
14-55-21,3.0,706.0,1.0,3.0,3.0,0.0
14-55-39,0.0,2265.0,1.0,0.0,0.0,0.0
14-55-47,0.0,569.0,1.0,0.0,0.0,0.0
14-55-54,2.0,2352.0,1.0,2.0,2.0,0.0
14-56-05,0.0,2319.0,1.0,0.0,0.0,0.0
14-56-13,2.0,2284.0,1.0,2.0,2.0,0.0
14-56-26,0.0,1259.0,1.0,0.0,0.0,0.0
14-56-34,2.0,2024.0,1.0,2.0,2.0,0.0
14-56-46,0.0,1085.0,1.0,0.0,0.0,0.0
14-56-57,0.0,1619.0,1.0,0.0,0.0,0.0
14-57-12,0.0,196.0,1.0,0.0,0.0,0.0
14-57-14,0.0,1036.0,1.0,0.0,0.0,0.0
14-57-20,0.0,1191.0,1.0,0.0,0.0,0.0
14-57-32,0.0,1076.0,1.0,0.0,0.0,0.0
14-57-38,3.0,2031.0,1.0,3.0,3.0,0.0
14-57-51,0.0,3004.0,1.0,0.0,0.0,0.0
14-58-08,0.0,1964.0,1.0,0.0,0.0,0.0
14-58-17,0.0,2317.0,1.0,0.0,0.0,0.0
14-58-29,1.0,1515.0,1.0,1.0,1.0,0.0
14-58-39,0.0,2182.0,1.0,0.0,0.0,0.0
14-58-51,0.0,1533.0,1.0,0.0,0.0,0.0
14-59-04,0.0,626.0,1.0,0.0,0.0,0.0
14-59-10,0.0,2355.0,1.0,0.0,0.0,0.0
14-59-17,0.0,2395.0,1.0,0.0,0.0,0.0
14-59-28,0.0,622.0,1.0,0.0,0.0,0.0
14-59-35,0.0,816.0,1.0,0.0,0.0,0.0
14-59-46,0.0,1935.0,1.0,0.0,0.0,0.0
14-59-55,0.0,244.0,1.0,0.0,0.0,0.0
14-59-58,1.0,2015.0,1.0,1.0,1.0,0.0
15-00-07,0.0,1502.0,1.0,0.0,0.0,0.0
15-00-19,0.0,145.0,1.0,0.0,0.0,0.0
15-00-21,0.0,723.0,1.0,0.0,0.0,0.0
15-00-28,0.0,2496.0,1.0,0.0,0.0,0.0
15-00-38,0.0,2389.0,1.0,0.0,0.0,0.0
15-00-47,0.0,1520.0,1.0,0.0,0.0,0.0
15-00-59,0.0,248.0,1.0,0.0,0.0,0.0
15-01-01,0.0,1763.0,1.0,0.0,0.0,0.0
15-01-21,0.0,1896.0,1.0,0.0,0.0,0.0
15-01-40,0.0,1460.0,1.0,0.0,0.0,0.0
15-01-55,0.0,900.0,1.0,0.0,0.0,0.0
