index,total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
14-00-06,0.0,12.0,1.0,0.0,0.0,0.0
14-00-07,0.0,35.0,1.0,0.0,0.0,0.0
14-00-09,0.0,88.0,1.0,0.0,0.0,0.0
14-00-14,0.0,136.0,1.0,0.0,0.0,0.0
14-00-24,0.0,307.0,1.0,0.0,0.0,0.0
14-00-45,3.0,142.0,1.0,3.0,3.0,0.0
14-00-53,0.0,50.0,1.0,0.0,0.0,0.0
14-00-58,0.0,139.0,1.0,0.0,0.0,0.0
14-01-07,0.0,174.0,1.0,0.0,0.0,0.0
14-01-21,20.0,215.0,1.0,20.0,0.0,5.0
14-01-38,0.0,13.0,1.0,0.0,0.0,0.0
14-01-39,3.0,72.0,1.0,3.0,3.0,0.0
14-01-44,0.0,63.0,1.0,0.0,0.0,0.0
14-01-47,0.0,168.0,1.0,0.0,0.0,0.0
14-01-56,0.0,45.0,1.0,0.0,0.0,0.0
14-01-58,8.0,305.0,1.0,8.0,4.0,1.0
14-02-13,0.0,57.0,1.0,0.0,0.0,0.0
14-02-16,7.0,252.0,1.0,7.0,7.0,0.0
14-02-33,0.0,337.0,1.0,0.0,0.0,0.0
14-02-56,50.0,53.0,2.0,50.0,0.0,0.0
14-02-59,0.0,95.0,1.0,0.0,0.0,0.0
14-03-03,4.0,136.0,1.0,4.0,4.0,0.0
14-03-15,0.0,130.0,1.0,7.0,7.0,0.0
14-03-28,0.0,109.0,1.0,0.0,0.0,0.0
14-03-33,0.0,119.0,1.0,0.0,0.0,0.0
14-03-38,0.0,57.0,1.0,0.0,0.0,0.0
14-03-42,0.0,51.0,1.0,0.0,0.0,0.0
14-03-44,0.0,51.0,1.0,0.0,0.0,0.0
14-03-46,3.0,29.0,1.0,3.0,3.0,0.0
14-03-48,0.0,93.0,1.0,0.0,0.0,0.0
14-03-53,0.0,70.0,1.0,0.0,0.0,0.0
14-03-56,0.0,242.0,1.0,0.0,0.0,0.0
14-04-14,0.0,87.0,1.0,0.0,0.0,0.0
14-04-18,2.0,158.0,1.0,2.0,2.0,0.0
