total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
4.0,103.0,1.0,4.0,0.0,1.0
0.0,80.0,1.0,0.0,0.0,0.0
14.0,1841.0,1.0,14.0,0.0,1.0
0.0,340.0,1.0,0.0,0.0,0.0
0.0,1247.0,1.0,0.0,0.0,0.0
0.0,181.0,1.0,0.0,0.0,0.0
0.0,60.0,1.0,0.0,0.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0
4.0,2559.0,1.0,4.0,0.0,1.0
0.0,19.0,1.0,0.0,0.0,0.0
0.0,215.0,1.0,0.0,0.0,0.0
0.0,83.0,1.0,0.0,0.0,0.0
11.0,1227.0,1.0,11.0,3.0,2.0
0.0,285.0,1.0,0.0,0.0,0.0
23.0,1263.0,1.0,23.0,3.0,5.0
13.0,3157.0,1.0,13.0,5.0,2.0
52.0,2246.0,1.0,52.0,0.0,13.0
0.0,2421.0,1.0,0.0,0.0,0.0
0.0,122.0,1.0,0.0,0.0,0.0
0.0,63.0,1.0,0.0,0.0,0.0
4.0,2361.0,1.0,4.0,0.0,1.0
68.0,2350.0,1.0,68.0,0.0,17.0
27.0,859.0,1.0,27.0,3.0,6.0
0.0,44.0,1.0,0.0,0.0,0.0
5.0,2426.0,1.0,5.0,5.0,0.0
0.0,283.0,1.0,0.0,0.0,0.0
1.0,162.0,1.0,2.0,2.0,0.0
0.0,276.0,1.0,0.0,0.0,0.0
4.0,571.0,1.0,4.0,0.0,1.0
15.0,2337.0,1.0,15.0,3.0,2.0
0.0,2532.0,1.0,0.0,0.0,0.0
0.0,305.0,1.0,0.0,0.0,0.0
20.0,585.0,1.0,20.0,0.0,5.0
4.0,125.0,1.0,4.0,0.0,1.0
12.0,1520.0,1.0,12.0,0.0,3.0
2.0,138.0,1.0,2.0,2.0,0.0
4.0,372.0,1.0,7.0,3.0,1.0
10.0,567.0,1.0,10.0,0.0,0.0
28.0,1953.0,1.0,28.0,4.0,6.0
0.0,101.0,1.0,0.0,0.0,0.0
4.0,142.0,1.0,4.0,4.0,0.0
4.0,2484.0,1.0,4.0,4.0,0.0
0.0,3.0,1.0,0.0,0.0,0.0
74.0,885.0,1.0,74.0,2.0,18.0
0.0,2560.0,1.0,0.0,0.0,0.0
0.0,505.0,1.0,0.0,0.0,0.0
0.0,136.0,1.0,0.0,0.0,0.0
0.0,228.0,1.0,0.0,0.0,0.0
0.0,191.0,1.0,0.0,0.0,0.0
0.0,278.0,1.0,0.0,0.0,0.0
28.0,2160.0,1.0,28.0,0.0,6.0
98.0,2689.0,2.0,98.0,0.0,6.0
0.0,217.0,1.0,0.0,0.0,0.0
0.0,228.0,1.0,0.0,0.0,0.0
0.0,343.0,1.0,0.0,0.0,0.0
3.0,413.0,1.0,3.0,3.0,0.0
0.0,3333.0,1.0,0.0,0.0,0.0
0.0,85.0,1.0,0.0,0.0,0.0
24.0,235.0,1.0,24.0,0.0,6.0
3.0,3188.0,1.0,3.0,3.0,0.0
4.0,246.0,1.0,17.0,0.0,1.0
32.0,2240.0,1.0,32.0,0.0,8.0
1.0,151.0,1.0,1.0,1.0,0.0
28.0,321.0,1.0,28.0,0.0,7.0
0.0,2554.0,1.0,0.0,0.0,0.0
0.0,243.0,1.0,0.0,0.0,0.0
0.0,1825.0,1.0,0.0,0.0,0.0
14.0,325.0,1.0,14.0,0.0,1.0
0.0,3152.0,1.0,0.0,0.0,0.0
28.0,427.0,1.0,28.0,0.0,7.0
0.0,187.0,1.0,0.0,0.0,0.0
3.0,651.0,1.0,3.0,3.0,0.0
18.0,957.0,1.0,18.0,0.0,2.0
4.0,162.0,1.0,4.0,0.0,1.0
0.0,87.0,1.0,1.0,1.0,0.0
4.0,186.0,1.0,4.0,0.0,1.0
